rank,gene_id,tcga_train_n,tcga_train_events,tcga_cox_z,tcga_cox_p,meta_cox_z,meta_cox_p,direction
4750,ENSG00000162174.12,91,50,-1.4842377063144363,0.13774586982551898,-1.4842377063144363,0.13774586982552,higher_expr_lower_risk
4751,ENSG00000025434.19,91,50,1.4841863496565908,0.13775949011507066,1.4841863496565908,0.13775949011506955,higher_expr_higher_risk
4752,ENSG00000105887.11,91,50,1.4840376552559262,0.1377989311838421,1.4840376552559262,0.13779893118384173,higher_expr_higher_risk
4753,ENSG00000070495.15,91,50,-1.4838929190517507,0.13783733070407733,-1.4838929190517507,0.13783733070407678,higher_expr_lower_risk
4754,ENSG00000075785.14,91,50,1.4838746595016508,0.13784217567543433,1.4838746595016508,0.13784217567543475,higher_expr_higher_risk
4755,ENSG00000128595.17,91,50,1.4838437668308893,0.1378503730057403,1.4838437668308893,0.13785037300574005,higher_expr_higher_risk
4756,ENSG00000112186.12,91,50,-1.4838140773767718,0.13785825141816777,-1.4838140773767718,0.13785825141816685,higher_expr_lower_risk
4757,ENSG00000140092.14,91,50,-1.4836225121789108,0.1379090936258506,-1.4836225121789108,0.13790909362585146,higher_expr_lower_risk
4758,ENSG00000106367.15,91,50,1.4836200845926801,0.1379097380101539,1.4836200845926801,0.1379097380101538,higher_expr_higher_risk
4759,ENSG00000212933.1,91,50,-1.4834730510729353,0.13794877126711091,-1.4834730510729353,0.13794877126711055,higher_expr_lower_risk
4760,ENSG00000155465.20,91,50,1.4834287677650215,0.13796052890610588,1.4834287677650215,0.13796052890610624,higher_expr_higher_risk
4761,ENSG00000154133.15,91,50,-1.4833077447396539,0.13799266560921772,-1.4833077447396539,0.13799266560921722,higher_expr_lower_risk
4762,ENSG00000143919.15,91,50,1.4831752723680107,0.13802784920937905,1.4831752723680107,0.13802784920938332,higher_expr_higher_risk
4763,ENSG00000187164.20,91,50,-1.483072606630341,0.1380551211616172,-1.483072606630341,0.1380551211616214,higher_expr_lower_risk
4764,ENSG00000126785.13,91,50,-1.483035037130538,0.13806510209762113,-1.483035037130538,0.13806510209762526,higher_expr_lower_risk
4765,ENSG00000115844.11,91,50,-1.482468882583618,0.138215577415233,-1.482468882583618,0.13821557741523707,higher_expr_lower_risk
4766,ENSG00000100036.13,91,50,1.4822955626337921,0.1382616684947909,1.4822955626337921,0.13826166849479518,higher_expr_higher_risk
4767,ENSG00000203896.10,91,50,-1.4821241636455365,0.13830726037855043,-1.4821241636455365,0.1383072603785546,higher_expr_lower_risk
4768,ENSG00000166261.11,91,50,-1.4821183496615469,0.13830880709302293,-1.4821183496615469,0.138308807093027,higher_expr_lower_risk
4769,ENSG00000171643.14,91,50,-1.4819528952822478,0.1383528290864045,-1.4819528952822478,0.13835282908640864,higher_expr_lower_risk
4770,ENSG00000254122.3,91,50,-1.4818781378626837,0.1383727231288882,-1.4818781378626837,0.1383727231288924,higher_expr_lower_risk
4771,ENSG00000023516.9,91,50,-1.4817852456424978,0.13839744617784835,-1.4817852456424978,0.13839744617785252,higher_expr_lower_risk
4772,ENSG00000085276.19,91,50,1.4813186869929633,0.13852167115811098,1.4813186869929633,0.138521671158115,higher_expr_higher_risk
4773,ENSG00000101203.16,91,50,1.481159605814096,0.13856404742977566,1.481159605814096,0.13856404742977985,higher_expr_higher_risk
4774,ENSG00000184378.3,91,50,1.481110173335952,0.13857721735749404,1.481110173335952,0.13857721735749834,higher_expr_higher_risk
4775,ENSG00000198046.12,91,50,-1.4810926699929685,0.13858188087422615,-1.4810926699929685,0.1385818808742304,higher_expr_lower_risk
4776,ENSG00000196850.6,91,50,1.4806200088003416,0.1387078604436868,1.4806200088003416,0.1387078604436911,higher_expr_higher_risk
4777,ENSG00000083720.13,91,50,-1.480128901358882,0.13883884996385315,-1.480128901358882,0.13883884996385726,higher_expr_lower_risk
4778,ENSG00000152558.15,91,50,1.4800491818729036,0.13886012194801942,1.4800491818729036,0.1388601219480237,higher_expr_higher_risk
4779,ENSG00000077616.11,91,50,-1.4799610437294475,0.1388836432499668,-1.4799610437294475,0.13888364324997085,higher_expr_lower_risk
4780,ENSG00000157554.19,91,50,-1.4799420137119528,0.13888872216663364,-1.4799420137119528,0.1388887221666378,higher_expr_lower_risk
4781,ENSG00000241489.8,91,50,-1.4798752744743047,0.13890653531578034,-1.4798752744743047,0.13890653531578456,higher_expr_lower_risk
4782,ENSG00000171425.10,91,50,1.4797794548707839,0.13893211328559518,1.4797794548707839,0.13893211328559948,higher_expr_higher_risk
4783,ENSG00000240747.8,91,50,1.4797741683325412,0.1389335245733327,1.4797741683325412,0.13893352457333677,higher_expr_higher_risk
4784,ENSG00000162878.13,91,50,-1.4797381885591647,0.13894312998258435,-1.4797381885591647,0.13894312998258837,higher_expr_lower_risk
4785,ENSG00000184659.5,91,50,-1.4797010921519793,0.13895303403158965,-1.4797010921519793,0.13895303403159365,higher_expr_lower_risk
4786,ENSG00000133065.11,91,50,-1.4795017289710533,0.13900626959581158,-1.4795017289710533,0.1390062695958158,higher_expr_lower_risk
4787,ENSG00000204347.4,91,50,-1.4793803052621417,0.13903870082887462,-1.4793803052621417,0.13903870082887887,higher_expr_lower_risk
4788,ENSG00000145040.4,91,50,1.4793020416951883,0.1390596074453757,1.4793020416951883,0.13905960744537998,higher_expr_higher_risk
4789,ENSG00000169057.24,91,50,-1.479128866110718,0.1391058765979632,-1.479128866110718,0.13910587659796741,higher_expr_lower_risk
4790,ENSG00000205497.4,91,50,-1.479045476044884,0.1391281610319102,-1.479045476044884,0.1391281610319144,higher_expr_lower_risk
4791,ENSG00000189164.15,91,50,-1.4789664588636817,0.13914927943055405,-1.4789664588636817,0.13914927943055821,higher_expr_lower_risk
4792,ENSG00000146281.6,91,50,-1.4788249607116581,0.13918710287164976,-1.4788249607116581,0.13918710287165378,higher_expr_lower_risk
4793,ENSG00000213213.14,91,50,-1.4787931216340873,0.13919561476962933,-1.4787931216340873,0.1391956147696336,higher_expr_lower_risk
4794,ENSG00000178821.13,91,50,1.4787375348823586,0.13921047636054884,1.4787375348823586,0.139210476360553,higher_expr_higher_risk
4795,ENSG00000183060.15,91,50,-1.4787171910538148,0.13921591576152761,-1.4787171910538148,0.13921591576153178,higher_expr_lower_risk
4796,ENSG00000197766.8,91,50,-1.4780998065860897,0.13938106586455684,-1.4780998065860897,0.13938106586456125,higher_expr_lower_risk
4797,ENSG00000284308.1,91,50,-1.4780831963977556,0.13938551116592562,-1.4780831963977556,0.13938551116592987,higher_expr_lower_risk
4798,ENSG00000136247.15,91,50,1.477793529511715,0.13946305081008273,1.477793529511715,0.1394630508100869,higher_expr_higher_risk
4799,ENSG00000176563.10,91,50,-1.4776583817888331,0.13949923926243024,-1.4776583817888331,0.13949923926243432,higher_expr_lower_risk
4800,ENSG00000108813.11,91,50,1.4775007665463034,0.13954145296352688,1.4775007665463034,0.13954145296353102,higher_expr_higher_risk
4801,ENSG00000105737.9,91,50,-1.4773752046536506,0.13957508893093584,-1.4773752046536506,0.13957508893094006,higher_expr_lower_risk
4802,ENSG00000174255.8,91,50,-1.4773555028141023,0.13958036729631565,-1.4773555028141023,0.13958036729631995,higher_expr_lower_risk
4803,ENSG00000101367.9,91,50,1.4769990243217406,0.13967589881462283,1.4769990243217406,0.13967589881462705,higher_expr_higher_risk
4804,ENSG00000156282.5,91,50,1.4769652442748231,0.13968495402962586,1.4769652442748231,0.13968495402963005,higher_expr_higher_risk
4805,ENSG00000157445.15,91,50,-1.4767458006524878,0.13974378996924988,-1.4767458006524878,0.13974378996925405,higher_expr_lower_risk
4806,ENSG00000100439.10,91,50,1.4766686240522044,0.13976448664008428,1.4766686240522044,0.13976448664008867,higher_expr_higher_risk
4807,ENSG00000100714.17,91,50,1.476659751178633,0.13976686625528678,1.476659751178633,0.139766866255291,higher_expr_higher_risk
4808,ENSG00000053254.16,91,50,-1.4766221585763286,0.13977694855796066,-1.4766221585763286,0.139776948557965,higher_expr_lower_risk
4809,ENSG00000169871.13,91,50,-1.4765620189981028,0.1397930791035089,-1.4765620189981028,0.13979307910351327,higher_expr_lower_risk
4810,ENSG00000105447.13,91,50,1.4764697294078188,0.13981783566187034,1.4764697294078188,0.13981783566187467,higher_expr_higher_risk
4811,ENSG00000126858.18,91,50,1.476419021377704,0.13983143945871646,1.476419021377704,0.1398314394587207,higher_expr_higher_risk
4812,ENSG00000128829.12,91,50,1.4763711766391077,0.13984427603424054,1.4763711766391077,0.13984427603424454,higher_expr_higher_risk
4813,ENSG00000197629.6,91,50,-1.476214221771222,0.1398863928413606,-1.476214221771222,0.13988639284136473,higher_expr_lower_risk
4814,ENSG00000284024.4,91,50,-1.476086354396304,0.13992071161033603,-1.476086354396304,0.1399207116103402,higher_expr_lower_risk
4815,ENSG00000182175.14,91,50,-1.4758573161426318,0.13998220017744611,-1.4758573161426318,0.1399822001774504,higher_expr_lower_risk
4816,ENSG00000123342.16,91,50,-1.4755542920511253,0.14006358323832235,-1.4755542920511253,0.14006358323832666,higher_expr_lower_risk
4817,ENSG00000168306.13,91,50,-1.4755270564086782,0.14007089968662986,-1.4755270564086782,0.14007089968663408,higher_expr_lower_risk
4818,ENSG00000165102.15,91,50,-1.475260422578859,0.1401425424106937,-1.475260422578859,0.140142542410698,higher_expr_lower_risk
4819,ENSG00000216937.13,91,50,-1.4746374611080906,0.14031003785421578,-1.4746374611080906,0.14031003785422005,higher_expr_lower_risk
4820,ENSG00000087095.13,91,50,-1.4745642793936633,0.14032972430006926,-1.4745642793936633,0.14032972430007348,higher_expr_lower_risk
4821,ENSG00000049618.24,91,50,-1.474308223258186,0.14039862209823825,-1.474308223258186,0.14039862209824247,higher_expr_lower_risk
4822,ENSG00000179021.10,91,50,1.4742768036406428,0.14040707806146813,1.4742768036406428,0.1404070780614723,higher_expr_higher_risk
4823,ENSG00000142188.17,91,50,-1.474064334735701,0.14046427010925425,-1.474064334735701,0.14046427010925838,higher_expr_lower_risk
4824,ENSG00000135744.8,91,50,-1.4740602739502413,0.14046536335959903,-1.4740602739502413,0.14046536335960327,higher_expr_lower_risk
4825,ENSG00000148584.15,91,50,-1.4739278500478952,0.14050101829434528,-1.4739278500478952,0.14050101829434938,higher_expr_lower_risk
4826,ENSG00000287725.1,91,50,-1.4739094267259978,0.14050597929729297,-1.4739094267259978,0.1405059792972972,higher_expr_lower_risk
4827,ENSG00000168685.15,91,50,-1.4738498841402883,0.1405220137517561,-1.4738498841402883,0.14052201375176027,higher_expr_lower_risk
4828,ENSG00000197363.9,91,50,-1.4738091696705224,0.14053297871974002,-1.4738091696705224,0.1405329787197441,higher_expr_lower_risk
4829,ENSG00000146067.16,91,50,-1.4738029150794814,0.1405346632256338,-1.4738029150794814,0.14053466322563804,higher_expr_lower_risk
4830,ENSG00000088356.6,91,50,1.4736800492336979,0.1405677569856491,1.4736800492336979,0.14056775698565319,higher_expr_higher_risk
4831,ENSG00000099326.9,91,50,-1.4736153930769298,0.1405851744461042,-1.4736153930769298,0.14058517444610832,higher_expr_lower_risk
4832,ENSG00000075292.19,91,50,-1.4732488050942147,0.14068395948183798,-1.4732488050942147,0.14068395948184229,higher_expr_lower_risk
4833,ENSG00000175857.8,91,50,-1.4731785495166267,0.14070289745520878,-1.4731785495166267,0.1407028974552129,higher_expr_lower_risk
4834,ENSG00000152457.18,91,50,-1.472567975023187,0.14086756542606174,-1.472567975023187,0.1408675654260658,higher_expr_lower_risk
4835,ENSG00000166503.9,91,50,-1.4724810296579371,0.1408910260720477,-1.4724810296579371,0.1408910260720518,higher_expr_lower_risk
4836,ENSG00000198832.10,91,50,-1.4723426618153905,0.14092836834437092,-1.4723426618153905,0.14092836834437508,higher_expr_lower_risk
4837,ENSG00000129250.12,91,50,-1.4721500354085382,0.14098036641376502,-1.4721500354085382,0.1409803664137692,higher_expr_lower_risk
4838,ENSG00000175040.6,91,50,-1.4720530132790397,0.1410065624023202,-1.4720530132790397,0.14100656240232443,higher_expr_lower_risk
4839,ENSG00000105173.14,91,50,1.4719771264450123,0.14102705446591182,1.4719771264450123,0.14102705446591607,higher_expr_higher_risk
