rank,gene_id,is_literature_curated
595,ENSG00000010322.16,False
596,ENSG00000177494.6,False
597,ENSG00000147183.10,False
598,ENSG00000220205.9,False
599,ENSG00000214655.11,False
600,ENSG00000203733.5,False
601,ENSG00000100342.21,False
602,ENSG00000108669.16,False
603,ENSG00000137103.20,False
604,ENSG00000140750.17,False
605,ENSG00000198087.7,False
606,ENSG00000112658.8,False
607,ENSG00000146670.10,False
608,ENSG00000165480.16,False
609,ENSG00000162545.6,False
610,ENSG00000130024.15,False
611,ENSG00000166135.14,False
612,ENSG00000198759.12,False
613,ENSG00000124260.12,False
614,ENSG00000178921.14,False
615,ENSG00000064102.15,False
616,ENSG00000078804.13,False
617,ENSG00000138772.13,False
618,ENSG00000120708.17,False
619,ENSG00000152291.14,False
620,ENSG00000053747.17,False
621,ENSG00000165359.16,False
622,ENSG00000148356.14,False
623,ENSG00000204569.10,False
624,ENSG00000005073.6,False
625,ENSG00000003756.17,False
626,ENSG00000177728.17,False
627,ENSG00000177613.9,False
628,ENSG00000145247.12,False
629,ENSG00000283268.1,False
630,ENSG00000169884.14,False
631,ENSG00000173226.17,False
632,ENSG00000196814.15,False
633,ENSG00000156831.8,False
634,ENSG00000185515.15,False
635,ENSG00000127954.13,False
636,ENSG00000174607.11,False
637,ENSG00000198356.12,False
638,ENSG00000167580.8,False
639,ENSG00000169139.12,False
640,ENSG00000102309.15,False
641,ENSG00000198498.10,False
642,ENSG00000178795.9,False
643,ENSG00000161654.10,False
644,ENSG00000111229.16,False
645,ENSG00000109674.4,False
646,ENSG00000173926.6,False
647,ENSG00000186007.10,False
648,ENSG00000135424.18,False
649,ENSG00000137834.15,False
650,ENSG00000160131.13,False
651,ENSG00000181220.17,False
652,ENSG00000164185.6,False
653,ENSG00000181924.7,False
654,ENSG00000104979.9,False
655,ENSG00000172530.20,False
656,ENSG00000136518.17,False
657,ENSG00000188770.10,False
658,ENSG00000083937.10,False
659,ENSG00000187942.12,False
660,ENSG00000164109.14,False
661,ENSG00000137337.15,False
662,ENSG00000158373.8,False
663,ENSG00000179083.6,False
664,ENSG00000229972.8,False
665,ENSG00000123584.7,False
666,ENSG00000151491.14,False
667,ENSG00000187824.9,False
668,ENSG00000110871.15,False
669,ENSG00000166200.15,False
670,ENSG00000125870.11,False
671,ENSG00000116120.11,False
672,ENSG00000086598.11,False
673,ENSG00000119922.10,False
674,ENSG00000082515.18,False
675,ENSG00000111331.13,False
676,ENSG00000112742.10,False
677,ENSG00000099725.14,False
678,ENSG00000186111.10,False
679,ENSG00000221995.5,False
680,ENSG00000180992.7,False
681,ENSG00000074356.17,False
682,ENSG00000189052.7,False
683,ENSG00000131323.16,False
684,ENSG00000102098.19,False
685,ENSG00000180263.14,False
686,ENSG00000116353.16,False
687,ENSG00000257046.5,False
688,ENSG00000134153.10,False
689,ENSG00000169679.15,False
690,ENSG00000101191.17,False
691,ENSG00000062598.18,False
692,ENSG00000121454.6,False
693,ENSG00000145362.20,False
694,ENSG00000239704.11,False
695,ENSG00000106615.10,False
696,ENSG00000170214.5,False
697,ENSG00000123609.11,False
698,ENSG00000131620.17,False
699,ENSG00000177465.4,False
700,ENSG00000166171.13,False
701,ENSG00000197901.12,False
702,ENSG00000187837.4,False
703,ENSG00000183762.13,False
704,ENSG00000127824.14,False
705,ENSG00000143106.13,False
706,ENSG00000173113.7,False
707,ENSG00000164048.14,False
708,ENSG00000171161.13,False
709,ENSG00000135929.9,False
710,ENSG00000024526.17,False
