gene_id,gene_symbol,source
ENSG00000149182.15,ARFGAP2,gyorffy_survival
ENSG00000132254.13,ARFIP2,gyorffy_survival
ENSG00000163219.12,ARHGAP25,gyorffy_survival
ENSG00000134909.18,ARHGAP32,gyorffy_survival
ENSG00000117713.20,ARID1A,core_driver_pan_cancer
ENSG00000163466.16,ARPC2,gyorffy_survival
ENSG00000156219.17,ART3,gyorffy_survival
ENSG00000105011.9,ASF1B,gyorffy_survival
ENSG00000116539.14,ASH1L,gyorffy_survival
ENSG00000070669.17,ASNS,gyorffy_survival
ENSG00000066279.18,ASPM,gyorffy_survival
ENSG00000149311.19,ATM,literature_pan_cancer
ENSG00000069849.11,ATP1B3,gyorffy_survival
ENSG00000017260.20,ATP2C1,gyorffy_survival
ENSG00000081923.15,ATP8B1,gyorffy_survival
ENSG00000175054.16,ATR,literature_pan_cancer
ENSG00000087586.18,AURKA,gyorffy_survival
ENSG00000178999.13,AURKB,literature_pan_cancer
ENSG00000163512.14,AZI2,gyorffy_survival
ENSG00000179913.11,B3GNT3,gyorffy_survival
ENSG00000158470.5,B4GALT5,gyorffy_survival
ENSG00000107262.26,BAG1,literature_pam50
ENSG00000112208.11,BAG2,gyorffy_survival
ENSG00000087088.20,BAX,literature_pan_cancer
ENSG00000140463.14,BBS4,gyorffy_survival
ENSG00000187244.12,BCAM,gyorffy_survival
ENSG00000103507.14,BCKDK,gyorffy_survival
ENSG00000171791.14,BCL2,literature_pam50
ENSG00000182492.16,BGN,literature_pan_cancer
ENSG00000089685.15,BIRC5,gyorffy_survival
ENSG00000115760.14,BIRC6,gyorffy_survival
ENSG00000197299.12,BLM,gyorffy_survival
ENSG00000106605.11,BLVRA,literature_pam50
ENSG00000153162.9,BMP6,gyorffy_survival
ENSG00000165733.8,BMS1,gyorffy_survival
ENSG00000172331.12,BPGM,gyorffy_survival
ENSG00000157764.14,BRAF,core_driver_pan_cancer
ENSG00000012048.23,BRCA1,gyorffy_survival
ENSG00000139618.16,BRCA2,literature_pan_cancer
ENSG00000119411.11,BSPRY,gyorffy_survival
ENSG00000133243.10,BTBD2,gyorffy_survival
ENSG00000169814.16,BTD,gyorffy_survival
ENSG00000159388.6,BTG2,gyorffy_survival
ENSG00000154640.15,BTG3,gyorffy_survival
ENSG00000169679.15,BUB1,gyorffy_survival
ENSG00000171067.11,C11orf24,gyorffy_survival
ENSG00000173372.17,C1QA,gyorffy_survival
ENSG00000173369.17,C1QB,gyorffy_survival
ENSG00000198912.11,C1orf174,gyorffy_survival
ENSG00000113583.8,C5orf15,gyorffy_survival
ENSG00000181904.9,C5orf24,gyorffy_survival
ENSG00000074410.14,CA12,gyorffy_survival
ENSG00000107159.13,CA9,literature_pan_cancer
ENSG00000172137.19,CALB2,gyorffy_survival
ENSG00000162545.6,CAMK2N1,gyorffy_survival
ENSG00000130559.19,CAMSAP1,gyorffy_survival
ENSG00000171302.17,CANT1,gyorffy_survival
ENSG00000131236.18,CAP1,gyorffy_survival
ENSG00000116489.13,CAPZA1,gyorffy_survival
ENSG00000100065.15,CARD10,gyorffy_survival
ENSG00000204397.8,CARD16,gyorffy_survival
ENSG00000108349.17,CASC3,gyorffy_survival
ENSG00000106144.20,CASP2,gyorffy_survival
ENSG00000164305.19,CASP3,literature_pan_cancer
ENSG00000138794.10,CASP6,gyorffy_survival
ENSG00000145439.12,CBR4,gyorffy_survival
ENSG00000100211.10,CBY1,gyorffy_survival
ENSG00000024862.18,CCDC28A,gyorffy_survival
ENSG00000108691.9,CCL2,literature_pan_cancer
ENSG00000134057.15,CCNB1,literature_pam50
ENSG00000157456.8,CCNB2,gyorffy_survival
ENSG00000110092.4,CCND1,literature_pan_cancer
ENSG00000105173.14,CCNE1,gyorffy_survival
ENSG00000175305.17,CCNE2,gyorffy_survival
ENSG00000118816.11,CCNI,gyorffy_survival
ENSG00000121807.6,CCR2,literature_pan_cancer
ENSG00000126353.3,CCR7,gyorffy_survival
ENSG00000177697.19,CD151,gyorffy_survival
ENSG00000177575.13,CD163,literature_pan_cancer
ENSG00000120217.14,CD274,gyorffy_survival
ENSG00000167286.10,CD3D,gyorffy_survival
ENSG00000198851.10,CD3E,literature_pan_cancer
ENSG00000129226.14,CD68,literature_oncotype_dx
