rank,gene_id,cox_z,cox_p
330,ENSG00000143669.14,-2.8092514504611032,0.004965684558611559
331,ENSG00000167264.18,2.8089253690877225,0.0049707168065611
332,ENSG00000135175.5,2.8079047681384015,0.004986497042171389
333,ENSG00000168575.10,2.806974548044297,0.005000919281269103
334,ENSG00000111144.10,-2.8063471959604396,0.005010667105021398
335,ENSG00000123095.6,-2.805679052223697,0.005021067640301622
336,ENSG00000156831.8,2.8035859813824904,0.0050537755093329395
337,ENSG00000138271.6,2.803183785910583,0.005060082530662869
338,ENSG00000100580.8,-2.802837970221868,0.005065511121748984
339,ENSG00000178980.15,2.8026006541875645,0.005069239538286925
340,ENSG00000156795.8,2.8019504897521936,0.0050794668308241035
341,ENSG00000146733.14,2.801535403904519,0.005086006014171111
342,ENSG00000104969.11,2.800845506689245,0.005096891359537495
343,ENSG00000007171.18,2.800669936903984,0.0050996648963926115
344,ENSG00000221909.3,-2.800462310441868,0.0051029466042106396
345,ENSG00000272398.6,2.798984990302739,0.005126352033552733
346,ENSG00000243284.1,2.796703641746075,0.0051626864621868145
347,ENSG00000166326.7,-2.796294040667838,0.00516923465769484
348,ENSG00000188613.7,2.7948237303242416,0.0051928020316418175
349,ENSG00000133111.4,-2.7940238311325505,0.005205664226854469
350,ENSG00000139192.12,-2.7937918412271894,0.005209399952279994
351,ENSG00000133104.14,-2.7929238906209046,0.005223398023990564
352,ENSG00000115919.15,2.7897940551520684,0.005274157822734528
353,ENSG00000163818.17,-2.788078242075615,0.005302173644190733
354,ENSG00000121753.12,-2.787597522511406,0.005310046908514379
355,ENSG00000180921.7,2.7872976679615666,0.005314963296678066
356,ENSG00000111816.8,-2.786691140281844,0.005324920439972037
357,ENSG00000152520.14,-2.782561061211183,0.005393171571866246
358,ENSG00000212747.5,2.7801379880080996,0.0054335804549172214
359,ENSG00000119636.16,-2.778935956427947,0.005453727639386637
360,ENSG00000166143.10,2.776926196764129,0.0054875637863656054
361,ENSG00000173137.12,2.7762632461148504,0.005498766658641186
362,ENSG00000179195.16,-2.7752380378648756,0.005516131788587058
363,ENSG00000198315.11,-2.77436742178644,0.005530917257398503
364,ENSG00000177842.12,-2.7731562084987713,0.005551546499861359
365,ENSG00000218823.2,2.7731208827379095,0.00555214920476546
366,ENSG00000215343.7,2.7724246588489296,0.005564039774793847
367,ENSG00000163539.17,-2.7715202312169454,0.005579520497444359
368,ENSG00000162139.10,-2.7705475471036323,0.005596212903359427
369,ENSG00000185010.15,-2.7678903950598936,0.005642042675295867
370,ENSG00000127081.14,-2.766719657128104,0.005662342454589914
371,ENSG00000215704.10,-2.766061354062696,0.005673785886851013
372,ENSG00000137040.10,-2.765553057524342,0.005682635988841633
373,ENSG00000134343.14,2.7650922052730076,0.005690670784552182
374,ENSG00000164010.15,-2.764455680965643,0.005701785210368332
375,ENSG00000171903.16,-2.7643087448024026,0.005704353659773833
376,ENSG00000032219.19,-2.7638907082458832,0.005711666662295512
377,ENSG00000198393.8,-2.763603982669748,0.005716687438544115
378,ENSG00000196961.13,2.7629332178474733,0.005728448576235887
379,ENSG00000123562.18,2.761754338043091,0.00574917185001394
380,ENSG00000139154.16,-2.760252158528507,0.00577567628677102
381,ENSG00000165650.12,-2.7580137518252723,0.0058153751397197785
382,ENSG00000004399.13,2.756757593123283,0.005837761120440488
383,ENSG00000101306.11,2.7566131591377694,0.005840340049132679
384,ENSG00000151748.15,-2.7554307910359213,0.005861490369237078
385,ENSG00000197858.11,2.7529285184822188,0.005906479107585752
386,ENSG00000182521.5,2.7526660219262,0.005911216563301824
387,ENSG00000163491.16,-2.7505158136841596,0.005950151952962991
388,ENSG00000163939.18,-2.748727525494201,0.005982709655619041
389,ENSG00000106733.21,2.74784234912661,0.005998884556679319
390,ENSG00000165816.13,-2.74681136288032,0.006017773517242994
391,ENSG00000181638.20,2.7464298579187703,0.0060247767380205595
392,ENSG00000273540.4,2.7458888748476897,0.006034720059132863
393,ENSG00000147697.9,2.7457562873801096,0.006037159284189177
394,ENSG00000119900.9,-2.7450363965789353,0.0060504186981360135
395,ENSG00000145819.18,-2.742415909908448,0.006098906353878642
